ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,56442.8
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,56462.8
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56465.6
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56475.6
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,56483.2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,56515.8
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,56516.6
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56523.2
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,56528.6
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,56536.8
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56539.0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,56544.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56548.0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,56553.6
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,56590.8
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,56605.2
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,56610.0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,56619.2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56623.6
0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,56630.8
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56678.0
1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,56686.6
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,56690.4
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56699.2
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,56713.8
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,56714.8
